<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
CMP 101-15;Champ 101;0;4;TF;1PM-2:15PM;Ryan Gillen; 8/25 - 10/31;None;JOYC 102;
CMP 101-16;Champ 101;0;1;TF;1PM-2:15PM;Zeke Davico; 8/25 - 10/31;None;JOYC 212;
CMP 101-17;Champ 101;0;3;TF;2:30PM-3:45PM;Jennifer Vincent; 8/25 - 10/31;None;CCM 424;
CMP 101-18;Champ 101;0;1;TF;2:30PM-3:45PM;Liza Ryan; 8/25 - 10/31;None;JOYC 102;
CMP 101-19;Champ 101;0;8;TF;2:30PM-3:45PM;Meghan Broughton; 8/25 - 10/31;None;JOYC 203;
CMP 101-20;Transfer Connections;0;18;W;12:15PM-1:30PM;Danielle L'Esperance; 8/25 - 10/31;None;CCM 221;
COM 110-51;Public Speaking;3;11;MTH;5:30PM-6:45PM;Hurley Cavacas; 8/25 - 12/12;None;GBTC 112;
COM 120-01;Media and Society;3;6;MTH;1PM-2:15PM;Van Dora Williams; 8/25 - 12/12;None;CCM 424;
COM 210-01;Principles of Public Relations;3;7;MTH;11:30AM-12:45PM;Barrie Silver; 8/25 - 12/12;Complete either COM-... more;CCM 444;
COM 270-51;Intercultural Communication;3;10;W;5:30PM-8:15PM;Nadia DuBose; 8/25 - 12/12;Must have completed ... more;CCM 444;
COM 355-01;Prof. Communication Practices;1;8;M;10AM-10:50AM;Sarah Stack; 8/25 - 12/12;Minimum 60 credits a... more;CCM 424;
COM 365-01;Legal Issues in Communication;3;5;TF;11:30AM-12:45PM;Barrie Silver; 8/25 - 12/12;Must complete 60 cre... more;JOYC 203;
COM 400-01;Public Relations Campaign Dev;3;13;MTH;10AM-11:15AM;Sarah Jerger; 8/25 - 12/12;Complete COM-311;CCM 444;
COM 410-01;Crisis Communication;3;13;MTH;4PM-5:15PM;Sandra Yusen; 8/25 - 12/12;Take COM-210 and hav... more;JOYC 313;
COR 101-01;Navigating Higher Education;3;1;TH;2:30PM-5:15PM;Jonathan Banfill; 8/25 - 12/12;Take Cor-102 concurr... more;FOST 100;
COR 101-02;Navigating Higher Education;3;1;MTH;4PM-5:15PM;Amanda Young; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 311;
COR 101-03;Navigating Higher Education;3;1;TF;8:30AM-9:45AM;Charles Bashaw; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 302;
COR 101-04;Navigating Higher Education;3;0;TF;10AM-11:15AM;Charles Bashaw; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 302;
COR 101-06;Navigating Higher Education;3;1;MTH;10AM-11:15AM;Marianne Bhonslay; 8/25 - 12/12;Take Cor-102 concurr... more;FOST 100;
